ip;int;mac;exp;vrf;tag_inner;tag_outer;tag_vlanid
10.1.24.160;ae31.708;e4:27:71:62:7c:94;72;IPTV;;;
10.1.24.164;ae31.708;1c:bb:a8:1a:18:d7;765;IPTV;;;
10.1.24.166;ae31.708;ec:4c:4d:f0:2e:cc;1326;IPTV;;;
10.1.24.168;ae31.708;e4:27:71:67:f0:82;8;IPTV;;;
10.1.24.170;ae31.708;e4:27:71:27:6c:7d;520;IPTV;;;
10.1.24.173;ae31.708;1c:bb:a8:17:b1:78;603;IPTV;;;
10.1.24.174;ae31.708;ec:4c:4d:74:1d:6e;1048;IPTV;;;
10.1.24.177;ae31.708;e4:27:71:4d:20:fd;1259;IPTV;;;
10.1.24.180;ae31.708;e4:27:71:02:47:48;91;IPTV;;;
10.1.24.182;ae31.708;00:07:67:b2:38:3b;197;IPTV;;;
10.1.24.183;ae31.708;e4:27:71:5f:65:43;647;IPTV;;;
10.1.24.184;ae31.708;e4:27:71:1f:fc:fa;659;IPTV;;;
10.1.24.186;ae31.708;e4:27:71:60:e0:ec;713;IPTV;;;
10.1.24.188;ae31.708;e4:27:71:52:5b:62;253;IPTV;;;
10.1.24.189;ae31.708;e4:27:71:67:f0:40;710;IPTV;;;
10.1.24.193;ae31.708;e4:27:71:40:83:be;561;IPTV;;;
10.1.24.194;ae31.708;e4:27:71:5f:65:56;727;IPTV;;;
10.1.24.195;ae31.708;1c:bb:a8:23:54:af;32;IPTV;;;
10.1.24.197;ae31.708;00:02:9b:89:a0:47;147;IPTV;;;
10.1.24.198;ae31.708;e4:27:71:6c:11:fa;1287;IPTV;;;
10.1.24.199;ae31.708;e4:27:71:26:76:78;337;IPTV;;;
10.1.24.201;ae31.708;e0:d9:e3:7b:a5:20;1228;IPTV;;;
10.1.24.204;ae31.708;e4:27:71:55:d6:72;610;IPTV;;;
10.1.24.205;ae31.708;e4:27:71:02:42:99;658;IPTV;;;
10.1.24.206;ae31.708;1c:bb:a8:16:a5:f3;224;IPTV;;;
10.1.24.207;ae31.708;e4:27:71:60:e3:50;499;IPTV;;;
10.1.24.210;ae31.708;e4:27:71:18:6b:c6;740;IPTV;;;
10.1.24.211;ae31.708;e4:27:71:2a:0e:f6;312;IPTV;;;
10.1.24.213;ae31.708;e4:27:71:60:e1:15;962;IPTV;;;
10.1.24.214;ae31.708;e4:27:71:09:67:e0;1238;IPTV;;;
10.1.24.218;ae31.708;ec:4c:4d:f0:30:7d;627;IPTV;;;
10.1.24.220;ae31.708;e4:27:71:03:75:de;1103;IPTV;;;
10.1.24.221;ae31.708;e4:27:71:03:5f:22;550;IPTV;;;
10.1.24.224;ae31.708;ec:4c:4d:74:33:ed;314;IPTV;;;
10.1.24.225;ae31.708;ec:4c:4d:6b:6e:30;102;IPTV;;;
10.1.24.227;ae31.708;00:1a:79:0b:c5:73;717;IPTV;;;
10.1.24.229;ae31.708;1c:bb:a8:17:bf:10;641;IPTV;;;
10.1.24.230;ae31.708;e4:27:71:5f:63:23;910;IPTV;;;
10.1.24.233;ae31.708;e4:27:71:26:af:ba;1017;IPTV;;;
10.1.24.234;ae31.708;e4:27:71:4d:28:45;875;IPTV;;;
10.1.24.235;ae31.708;e4:27:71:12:32:73;205;IPTV;;;
