ip;int;mac;exp;vrf
11.90.150.9;lag-3:29*;ac:cb:51:00:5c:44;03h54m37s;USI_ROS_UIK
11.90.150.10;lag-3:29*;ac:cb:51:00:59:02;03h49m20s;USI_ROS_UIK
11.90.150.11;lag-3:29*;ac:cb:51:00:5b:dc;02h53m30s;USI_ROS_UIK
11.90.226.2;lag-3:91*;ac:cb:51:00:52:60;03h53m15s;USI_ROS_UIK
11.90.226.3;lag-3:91*;ac:cb:51:00:58:c2;03h59m34s;USI_ROS_UIK
11.90.226.4;lag-3:91*;ac:cb:51:00:58:40;03h38m34s;USI_ROS_UIK
11.90.226.5;lag-3:91*;ac:cb:51:00:58:e0;02h54m27s;USI_ROS_UIK
11.90.226.6;lag-3:91*;ac:cb:51:00:59:2d;03h50m47s;USI_ROS_UIK
11.90.226.7;lag-3:91*;ac:cb:51:00:58:96;03h59m43s;USI_ROS_UIK
11.90.226.8;lag-3:91*;ac:cb:51:00:59:3b;03h45m49s;USI_ROS_UIK
11.90.226.9;lag-3:91*;ac:cb:51:00:5c:2a;03h01m15s;USI_ROS_UIK
11.90.226.10;lag-3:91*;ac:cb:51:00:59:df;00h52m11s;USI_ROS_UIK
11.90.226.11;lag-3:91*;ac:cb:51:00:5b:c1;03h53m49s;USI_ROS_UIK
11.90.91.2;lag-3:40*;ac:cb:51:00:56:05;03h29m19s;USI_ROS_UIK
11.90.91.3;lag-3:40*;ac:cb:51:00:5b:b7;01h32m48s;USI_ROS_UIK
11.90.91.4;lag-3:40*;ac:cb:51:00:5b:8b;03h52m19s;USI_ROS_UIK
11.90.91.5;lag-3:40*;ac:cb:51:00:56:e5;02h44m46s;USI_ROS_UIK
11.90.91.6;lag-3:40*;ac:cb:51:00:56:6c;03h25m06s;USI_ROS_UIK
11.90.91.7;lag-3:40*;ac:cb:51:00:58:90;02h39m12s;USI_ROS_UIK
11.90.91.8;lag-3:40*;ac:cb:51:00:5a:5e;02h56m08s;USI_ROS_UIK
11.90.91.9;lag-3:40*;ac:cb:51:00:56:f3;02h48m13s;USI_ROS_UIK
11.90.91.10;lag-3:40*;ac:cb:51:03:8b:ff;01h43m28s;USI_ROS_UIK
11.90.91.11;lag-3:40*;ac:cb:51:00:5b:49;01h40m33s;USI_ROS_UIK
11.90.91.12;lag-3:40*;ac:cb:51:00:5a:83;00h01m21s;USI_ROS_UIK
11.90.91.13;lag-3:40*;ac:cb:51:00:5b:cf;02h56m13s;USI_ROS_UIK
11.90.91.14;lag-3:40*;ac:cb:51:00:56:ab;03h28m48s;USI_ROS_UIK
11.90.91.15;lag-3:40*;ac:cb:51:00:5b:79;03h30m28s;USI_ROS_UIK
11.90.91.16;lag-3:40*;ac:cb:51:00:59:19;03h22m06s;USI_ROS_UIK
11.90.91.17;lag-3:40*;ac:cb:51:00:5c:60;01h27m09s;USI_ROS_UIK
11.90.91.18;lag-3:40*;ac:cb:51:00:58:e6;03h45m53s;USI_ROS_UIK
11.90.91.19;lag-3:40*;ac:cb:51:00:5b:76;03h38m03s;USI_ROS_UIK
11.90.91.20;lag-3:40*;ac:cb:51:00:5c:58;03h57m31s;USI_ROS_UIK
11.90.91.21;lag-3:40*;ac:cb:51:00:55:cb;03h25m00s;USI_ROS_UIK
11.90.91.22;lag-3:40*;ac:cb:51:00:5b:bb;02h01m36s;USI_ROS_UIK
11.90.91.23;lag-3:40*;ac:cb:51:00:5a:87;01h50m08s;USI_ROS_UIK
