ip;int;mac;exp;vrf;tag_inner;tag_outer;tag_vlanid
10.1.24.3;ae31.708;00:02:9b:9f:75:b7;191;IPTV;;;708
10.1.24.4;ae31.708;1c:bb:a8:24:64:a4;862;IPTV;;;708
10.1.24.6;ae31.708;e4:27:71:40:b9:e1;254;IPTV;;;708
10.1.24.7;ae31.708;e4:27:71:29:45:15;513;IPTV;;;708
10.1.24.8;ae31.708;e4:27:71:14:67:53;1185;IPTV;;;708
10.1.24.11;ae31.708;e4:27:71:03:98:bf;1249;IPTV;;;708
10.1.24.13;ae31.708;1c:bb:a8:01:4a:1f;614;IPTV;;;708
10.1.24.15;ae31.708;ec:4c:4d:f5:21:3c;1037;IPTV;;;708
10.1.24.20;ae31.708;e4:27:71:6b:87:7a;737;IPTV;;;708
10.1.24.21;ae31.708;00:1a:79:0f:85:79;1103;IPTV;;;708
10.1.24.22;ae31.708;1c:bb:a8:1a:39:cd;346;IPTV;;;708
10.1.24.23;ae31.708;e4:27:71:1f:5a:d7;887;IPTV;;;708
10.1.24.24;ae31.708;e4:27:71:09:40:26;671;IPTV;;;708
10.1.24.26;ae31.708;e4:27:71:09:54:e4;786;IPTV;;;708
10.1.24.28;ae31.708;e4:27:71:62:7e:e6;749;IPTV;;;708
10.1.24.29;ae31.708;1c:bb:a8:1a:2a:b9;678;IPTV;;;708
10.1.24.32;ae31.708;e4:27:71:1f:db:51;316;IPTV;;;708
10.1.24.34;ae31.708;e4:27:71:27:8e:99;1121;IPTV;;;708
10.1.24.36;ae31.708;1c:bb:a8:1a:87:21;610;IPTV;;;708
10.1.24.39;ae31.708;e4:27:71:11:4b:8d;674;IPTV;;;708
10.1.24.43;ae31.708;e4:27:71:51:50:a0;559;IPTV;;;708
10.1.24.44;ae31.708;ec:4c:4d:74:28:ae;584;IPTV;;;708
10.1.24.48;ae31.708;70:2e:d9:0c:a9:52;1185;IPTV;;;708
10.1.24.49;ae31.708;e4:27:71:29:68:13;285;IPTV;;;708
10.1.24.51;ae31.708;e4:27:71:29:86:74;930;IPTV;;;708
10.1.24.53;ae31.708;e4:27:71:62:7f:62;953;IPTV;;;708
10.1.24.54;ae31.708;e4:27:71:13:55:c0;837;IPTV;;;708
10.1.24.55;ae31.708;e4:27:71:60:e1:09;75;IPTV;;;708
10.1.24.57;ae31.708;1c:bb:a8:27:13:0d;356;IPTV;;;708
10.1.24.59;ae31.708;00:1a:79:13:ab:6a;1097;IPTV;;;708
10.1.24.60;ae31.708;1c:bb:a8:01:4a:5b;144;IPTV;;;708
10.1.24.61;ae31.708;e4:27:71:29:67:86;801;IPTV;;;708
10.1.24.62;ae31.708;e4:27:71:45:cf:fd;490;IPTV;;;708
10.1.24.64;ae31.708;e4:27:71:51:52:5e;172;IPTV;;;708
10.1.24.65;ae31.708;e4:27:71:45:bc:d1;613;IPTV;;;708
10.1.24.66;ae31.708;1c:bb:a8:24:66:1e;1096;IPTV;;;708
10.1.24.68;ae31.708;e4:27:71:09:3f:d3;380;IPTV;;;708
10.1.24.69;ae31.708;e4:27:71:25:64:75;445;IPTV;;;708
10.1.24.70;ae31.708;e4:27:71:60:e3:fa;310;IPTV;;;708
10.1.24.73;ae31.708;e4:27:71:55:09:c7;693;IPTV;;;708
10.1.24.76;ae31.708;e4:27:71:47:25:25;982;IPTV;;;708
10.1.24.77;ae31.708;1c:bb:a8:23:57:cb;1098;IPTV;;;708
10.1.24.78;ae31.708;ec:4c:4d:66:c6:65;709;IPTV;;;708
10.1.24.87;ae31.708;e4:27:71:44:f8:5e;569;IPTV;;;708
10.1.24.95;ae31.708;e4:27:71:18:87:f7;713;IPTV;;;708
10.1.24.96;ae31.708;e4:27:71:24:f6:24;388;IPTV;;;708
10.1.24.98;ae31.708;1c:bb:a8:1a:58:c1;847;IPTV;;;708
10.1.24.99;ae31.708;e4:27:71:4d:26:82;79;IPTV;;;708
10.1.24.102;ae31.708;ec:4c:4d:f0:2c:8f;1167;IPTV;;;708
10.1.24.103;ae31.708;ec:4c:4d:74:29:a4;771;IPTV;;;708
10.1.24.104;ae31.708;1c:bb:a8:19:c1:52;512;IPTV;;;708
10.1.24.105;ae31.708;e4:27:71:1f:1c:41;1182;IPTV;;;708
10.1.24.106;ae31.708;e4:27:71:62:6f:c5;413;IPTV;;;708
10.1.24.108;ae31.708;ec:4c:4d:f5:07:6e;730;IPTV;;;708
10.1.24.110;ae31.708;e4:27:71:45:cd:84;1334;IPTV;;;708
10.1.24.111;ae31.708;e4:27:71:29:44:97;311;IPTV;;;708
10.1.24.112;ae31.708;ec:4c:4d:74:27:c5;709;IPTV;;;708
10.1.24.113;ae31.708;1c:bb:a8:0c:45:c9;21;IPTV;;;708
10.1.24.114;ae31.708;e4:27:71:0f:f7:66;710;IPTV;;;708
10.1.24.117;ae31.708;e4:27:71:55:d5:3a;132;IPTV;;;708
10.1.24.118;ae31.708;e4:27:71:4e:e2:b7;1271;IPTV;;;708
10.1.24.122;ae31.708;1c:bb:a8:0c:3c:6d;489;IPTV;;;708
10.1.24.124;ae31.708;e4:27:71:03:65:c9;31;IPTV;;;708
10.1.24.126;ae31.708;1c:bb:a8:0c:39:9d;1023;IPTV;;;708
10.1.24.132;ae31.708;e4:27:71:29:c1:f0;232;IPTV;;;708
10.1.24.137;ae31.708;e4:27:71:26:9c:0b;864;IPTV;;;708
10.1.24.139;ae31.708;e4:27:71:27:99:f0;877;IPTV;;;708
10.1.24.140;ae31.708;e4:27:71:02:2d:f8;1244;IPTV;;;708
10.1.24.141;ae31.708;e4:27:71:45:e9:23;765;IPTV;;;708
10.1.24.142;ae31.708;e4:27:71:1f:32:c9;294;IPTV;;;708
10.1.24.144;ae31.708;e4:27:71:6c:1b:37;86;IPTV;;;708
10.1.24.145;ae31.708;1c:bb:a8:22:ac:a3;982;IPTV;;;708
10.1.24.147;ae31.708;e4:27:71:03:40:e7;417;IPTV;;;708
10.1.24.148;ae31.708;e4:27:71:5f:65:09;538;IPTV;;;708
10.1.24.150;ae31.708;e4:27:71:47:ae:7c;797;IPTV;;;708
10.1.24.152;ae31.708;e4:27:71:4c:82:69;826;IPTV;;;708
10.1.24.153;ae31.708;e4:27:71:02:28:a6;841;IPTV;;;708
10.1.24.154;ae31.708;e4:27:71:6b:8c:ec;300;IPTV;;;708
10.1.24.156;ae31.708;00:1a:79:05:ef:d2;406;IPTV;;;708
10.1.24.159;ae31.708;e4:27:71:4c:77:73;1444;IPTV;;;708
10.1.24.160;ae31.708;e4:27:71:62:7c:94;1398;IPTV;;;708
10.1.24.164;ae31.708;1c:bb:a8:1a:18:d7;504;IPTV;;;708
10.1.24.166;ae31.708;ec:4c:4d:f0:2e:cc;1049;IPTV;;;708
10.1.24.168;ae31.708;e4:27:71:67:f0:82;1261;IPTV;;;708
10.1.24.170;ae31.708;e4:27:71:27:6c:7d;280;IPTV;;;708
10.1.24.173;ae31.708;1c:bb:a8:17:b1:78;593;IPTV;;;708
10.1.24.174;ae31.708;ec:4c:4d:74:1d:6e;843;IPTV;;;708
10.1.24.177;ae31.708;e4:27:71:4d:20:fd;904;IPTV;;;708
10.1.24.180;ae31.708;e4:27:71:02:47:48;945;IPTV;;;708
10.1.24.182;ae31.708;00:07:67:b2:38:3b;151;IPTV;;;708
10.1.24.183;ae31.708;e4:27:71:5f:65:43;395;IPTV;;;708
10.1.24.184;ae31.708;e4:27:71:1f:fc:fa;394;IPTV;;;708
10.1.24.186;ae31.708;e4:27:71:60:e0:ec;556;IPTV;;;708
10.1.24.188;ae31.708;e4:27:71:52:5b:62;721;IPTV;;;708
10.1.24.189;ae31.708;e4:27:71:67:f0:40;721;IPTV;;;708
